#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
1,HaerteTest @UCqsS8fU6yVxrJr5y_CoUn3w,19.9M,-,Germany,,6M,HaerteTest,19600000,3324874193,1567
2,Kinder Spielzeug Kanal @UCVEDZVtA5NUtjxSXHjtvkag,19.3M,-,Germany,,5.8M,Kidibli (Kinder Spielzeug Kanal),26400000,13513446607,1194
3,Ice Cream Rolls @UCAon55hNT6ESbdQ5y1hRWTA,12.2M,-,Germany,,3.7M,Ice Cream Rolls,12300000,1671352225,2393
4,Pamela Reif @UChVRfsT_ASBZk10o0An7Ucg,8.8M,0.1%,Germany,Fitness,2.6M,Pamela Reif,9970000,1927408660,267
5,freekickerz @UCC9h3H-sGrvqd2otknZntsQ,8.7M,-,Germany,,2.6M,freekickerz,8580000,2435514332,1632
6,Dhruv Rathee @UC-CSyyi47VX1lD9zyeABW3w,8.1M,2.5%,Germany,,2.4M,Dhruv Rathee,22400000,2920465710,624
7,The Voice Kids @UCsaKxIA9snv1Wrh_sw1DFvg,7.3M,-,Germany,News,2.2M,The Voice Kids,8950000,3042642470,1611
8,Rammstein Official @UCYp3rk70ACGXQ4gFAiMr1SQ,7.1M,-,Germany,,2.1M,Rammstein Official,8160000,5930817183,157
9,German Spidey @germanspidey,6.6M,0.2%,Germany,,2M,COLORS,7520000,2952281521,1077
10,COLORS @UC2Qw1dzXDBAZPwS7zm37g8g,6.2M,-,Germany,,1.9M,Kontor.TV,6260000,6975459622,2610
11,Kontor.TV @UCb3tJ5NKw7mDxyaQ73mwbRg,6.1M,-,Germany,,1.8M,TheFatRat,6460000,2035920178,123
12,TheFatRat @UCa_UMppcMsHIzb5LDx1u9zQ,6.1M,1.1%,Germany,,1.8M,Julien Bam,6160000,1659335856,244
13,Julien Bam @UCTXeJ33DzXI2veQpKfrvaYw,6M,-,Germany,,1.8M,BibisBeautyPalace,5800000,2884564713,942
14,BibisBeautyPalace @UCHfdTAyg5t4mb1G-3rJ6QsQ,5.9M,0.3%,Germany,,1.8M,TikTokTunes,6790000,4473596398,1125
15,TikTokTunes @UC9EgazNjxm-_3eydGQR45rQ,5.7M,-,Germany,,1.7M,briQle,5650000,1402503621,120
